monthday,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,average
2021-01-01,4202.5,4201.2,4199.18,4197.37,4195.16,4194.49,4195.78,4196.81,4195.24,4194.07,4194.44,4194.52,4197.84,4196.39,4194.39,4193.52,4192.63,4192.2,4193.9,4192.4,4195.7015
2021-01-02,4202.5,4201.2,4199.17,4197.35,4195.32,4194.56,4195.76,4196.79,4195.26,4194.06,4194.46,4194.54,4197.82,4196.37,4194.4,4193.5,4192.63,4192.2,4193.9,4192.3,4195.7045
2021-01-03,4202.5,4201.2,4199.18,4197.44,4195.36,4194.57,4195.77,4196.79,4195.24,4194.2,4194.46,4194.57,4197.82,4196.38,4194.41,4193.5,4192.64,4192.2,4193.9,4192.3,4195.7215
2021-01-04,4202.4,4201.2,4199.18,4197.42,4195.3,4194.58,4195.88,4196.8,4195.14,4194.1,4194.47,4194.56,4197.84,4196.38,4194.46,4193.5,4192.66,4192.3,4193.9,4192.3,4195.7185
2021-01-05,4202.5,4201.2,4199.18,4197.51,4195.35,4194.5,4195.89,4196.96,4195.17,4194.11,4194.48,4194.56,4197.84,4196.37,4194.41,4193.51,4192.67,4192.3,4193.9,4192.3,4195.7355
2021-01-06,4202.5,4201.2,4199.18,4197.51,4195.3,4194.5,4195.9,4196.83,4195.31,4194.11,4194.49,4194.59,4197.85,4196.37,4194.42,4193.51,4192.68,4192.2,4193.9,4192.3,4195.7325
2021-01-07,4202.5,4201.2,4199.19,4197.48,4195.4,4194.5,4195.94,4196.88,4195.28,4194.14,4194.5,4194.58,4197.94,4196.37,4194.41,4193.52,4192.74,4192.2,4194,4192.3,4195.7535
2021-01-08,4202.5,4201.2,4199.19,4197.47,4195.4,4194.5,4196,4196.84,4195.27,4194.16,4194.48,4194.59,4197.9,4196.36,4194.42,4193.52,4192.83,4192.2,4194,4192.4,4195.7615
2021-01-09,4202.5,4201.2,4199.2,4197.4,4195.4,4194.6,4195.98,4196.82,4195.35,4194.18,4194.49,4194.6,4197.9,4196.36,4194.44,4193.57,4192.74,4192.2,4194,4192.4,4195.7665
2021-01-10,4202.5,4201.2,4199.2,4197.42,4195.4,4194.6,4196,4196.85,4195.32,4194.16,4194.48,4194.57,4197.9,4196.43,4194.43,4193.56,4192.76,4192.1,4194,4192.4,4195.764
2021-01-11,4202.5,4201.1,4199.2,4197.48,4195.4,4194.7,4196.03,4196.92,4195.33,4194.16,4194.48,4194.58,4197.92,4196.43,4194.42,4193.57,4192.74,4192.2,4194,4192.3,4195.773
2021-01-12,4202.5,4201.2,4199.19,4197.49,4195.4,4194.7,4196.08,4197.02,4195.33,4194.18,4194.48,4194.6,4197.9,4196.38,4194.5,4193.61,4192.74,4192.2,4194,4192.3,4195.79
2021-01-13,4202.5,4201.2,4199.22,4197.5,4195.4,4194.8,4196.08,4196.87,4195.33,4194.19,4194.5,4194.61,4197.92,4196.38,4194.45,4193.69,4192.76,4192.2,4194,4192.3,4195.795
2021-01-14,4202.5,4201.2,4199.2,4197.5,4195.4,4194.8,4196.07,4196.84,4195.32,4194.2,4194.5,4194.61,4198,4196.4,4194.46,4193.67,4192.75,4192.2,4194.1,4192.4,4195.806
2021-01-15,4202.5,4201.3,4199.23,4197.53,4195.4,4194.8,4196.17,4196.81,4195.46,4194.19,4194.49,4194.6,4197.96,4196.4,4194.47,4193.68,4192.78,4192.2,4194.1,4192.4,4195.8235
2021-01-16,4202.5,4201.3,4199.22,4197.52,4195.4,4194.8,4196.13,4196.81,4195.36,4194.2,4194.5,4194.59,4198.12,4196.42,4194.48,4193.66,4192.79,4192.3,4194.1,4192.4,4195.83
2021-01-17,4202.6,4201.3,4199.2,4197.53,4195.4,4194.9,4196.08,4196.83,4195.32,4194.2,4194.52,4194.61,4197.97,4196.4,4194.49,4193.68,4192.79,4192.2,4194.1,4192.4,4195.826
2021-01-18,4202.6,4201.2,4199.25,4197.53,4195.4,4194.9,4196.13,4196.81,4195.31,4194.2,4194.52,4194.61,4197.99,4196.4,4194.49,4193.69,4192.82,4192.3,4194.1,4192.4,4195.8325
2021-01-19,4202.6,4201.2,4199.19,4197.52,4195.4,4194.9,4196.23,4196.82,4195.35,4194.2,4194.5,4194.75,4198.03,4196.4,4194.49,4193.71,4192.85,4192.3,4194.2,4192.5,4195.857
2021-01-20,4202.6,4201.2,4199.2,4197.55,4195.4,4194.9,4196.14,4196.83,4195.36,4194.2,4194.54,4194.68,4198.02,4196.4,4194.48,4193.72,4192.88,4192.3,4194.3,4192.5,4195.86
2021-01-21,4202.6,4201.2,4199.16,4197.54,4195.4,4195,4196.13,4196.87,4195.41,4194.2,4194.54,4194.68,4198.09,4196.4,4194.5,4193.76,4192.82,4192.3,4194.3,4192.6,4195.875
2021-01-22,4202.6,4201.2,4199.29,4197.56,4195.4,4195,4196.19,4196.84,4195.39,4194.22,4194.43,4194.74,4198.15,4196.4,4194.5,4193.73,4192.83,4192.3,4194.1,4192.6,4195.8735
2021-01-23,4202.6,4201.2,4199.21,4197.53,4195.4,4195,4196.18,4196.8,4195.4,4194.25,4194.59,4194.7,4198.14,4196.4,4194.5,4193.74,4192.86,4192.3,4194.2,4192.5,4195.875
2021-01-24,4202.7,4201.2,4199.2,4197.56,4195.4,4195.1,4196.18,4196.8,4195.4,4194.26,4194.6,4194.71,4198.19,4196.4,4194.49,4193.77,4192.92,4192.4,4194.2,4192.5,4195.899
2021-01-25,4202.7,4201.2,4199.23,4197.56,4195.4,4195.08,4196.2,4196.8,4195.4,4194.32,4194.59,4194.74,4198.18,4196.41,4194.5,4193.78,4192.93,4192.4,4194.2,4192.6,4195.911
2021-01-26,4202.8,4201.2,4199.21,4197.55,4195.4,4195.02,4196.19,4196.82,4195.4,4194.53,4194.6,4194.76,4198.21,4196.4,4194.49,4193.79,4192.9,4192.4,4194.2,4192.6,4195.9235
2021-01-27,4202.8,4201.3,4199.22,4197.55,4195.4,4195.07,4196.19,4196.84,4195.23,4194.42,4194.6,4194.78,4198.27,4196.45,4194.5,4193.8,4192.9,4192.4,4194.2,4192.6,4195.926
2021-01-28,4202.8,4201.3,4199.35,4197.6,4195.4,4195.1,4196.21,4196.82,4195.34,4194.4,4194.61,4194.79,4198.22,4196.46,4194.51,4193.81,4192.91,4192.3,4194.2,4192.6,4195.9365
2021-01-29,4202.7,4201.2,4199.32,4197.6,4195.4,4195.18,4196.22,4196.81,4195.35,4194.4,4194.62,4194.8,4198.24,4196.44,4194.54,4193.82,4192.93,4192.4,4194.2,4192.6,4195.9385
2021-01-30,4202.7,4201.3,4199.31,4197.6,4195.5,4195.37,4196.21,4196.81,4195.46,4194.4,4194.61,4194.81,4198.24,4196.48,4194.48,4193.86,4193.03,4192.3,4194.2,4192.6,4195.9635
2021-01-31,4202.8,4201.2,4199.29,4197.56,4195.5,4195.3,4196.3,4196.86,4195.33,4194.4,4194.61,4194.89,4198.27,4196.47,4194.56,4193.89,4193.02,4192.3,4194.2,4192.6,4195.9675
2021-02-01,4202.8,4201.2,4199.28,4197.47,4195.5,4195.28,4196.28,4196.82,4195.39,4194.41,4194.63,4195.08,4198.28,4196.48,4194.56,4193.89,4193.36,4192.4,4194.2,4192.7,4196.0005
2021-02-02,4202.8,4201.2,4199.29,4198.02,4195.5,4195.25,4196.31,4196.84,4195.37,4194.41,4194.66,4194.87,4198.43,4196.49,4194.51,4193.85,4193.02,4192.4,4194.2,4192.7,4196.006
2021-02-03,4202.8,4201.2,4199.29,4197.68,4195.5,4195.2,4196.33,4196.82,4195.33,4194.41,4194.67,4194.86,4198.37,4196.49,4194.56,4193.84,4192.99,4192.4,4194.3,4192.7,4195.987
2021-02-04,4202.8,4201.2,4199.29,4197.61,4195.5,4195.19,4196.42,4196.82,4195.44,4194.44,4194.68,4194.85,4198.34,4196.48,4194.58,4193.86,4193,4192.4,4194.2,4192.5,4195.98
2021-02-05,4202.8,4201.2,4199.29,4197.62,4195.5,4195.21,4196.44,4196.81,4195.41,4194.46,4194.7,4194.87,4198.38,4196.47,4194.56,4193.87,4193,4192.4,4194.3,4192.5,4195.9895
2021-02-06,4202.8,4201.3,4199.28,4197.64,4195.5,4195.22,4196.37,4196.82,4195.42,4194.46,4194.74,4194.87,4198.38,4196.48,4194.56,4193.86,4193,4192.3,4194.3,4192.7,4196
2021-02-07,4202.8,4201.4,4199.28,4197.59,4195.53,4195.29,4196.4,4196.84,4195.48,4194.5,4194.79,4194.95,4198.38,4196.53,4194.55,4193.88,4193.02,4192.4,4194.3,4192.8,4196.0355
2021-02-08,4202.8,4201.4,4199.38,4197.58,4195.56,4195.3,4196.4,4196.86,4195.41,4194.5,4194.78,4194.94,4198.4,4196.55,4194.55,4193.89,4193.03,4192.4,4194.3,4192.8,4196.0415
2021-02-09,4202.8,4201.3,4199.3,4197.58,4195.55,4195.24,4196.4,4196.86,4195.4,4194.55,4194.76,4194.91,4198.39,4196.57,4194.59,4193.9,4193.05,4192.5,4194.3,4192.7,4196.0325
2021-02-10,4202.8,4201.3,4199.29,4197.56,4195.53,4195.26,4196.58,4196.86,4195.41,4194.65,4194.78,4194.9,4198.4,4196.56,4194.61,4193.95,4193.06,4192.6,4194.4,4192.7,4196.06
2021-02-11,4202.8,4201.3,4199.29,4197.58,4195.56,4195.23,4196.47,4196.88,4195.43,4194.6,4194.78,4194.9,4198.4,4196.57,4194.6,4193.94,4193.06,4192.6,4194.3,4192.8,4196.0545
2021-02-12,4202.8,4201.3,4199.3,4197.59,4195.53,4195.3,4196.41,4196.92,4195.42,4194.61,4194.78,4194.9,4198.44,4196.56,4194.61,4193.91,4193.07,4192.7,4194.4,4192.9,4196.0725
2021-02-13,4202.8,4201.3,4199.3,4197.6,4195.52,4195.31,4196.41,4196.95,4195.59,4194.61,4194.8,4194.92,4198.41,4196.56,4194.66,4193.91,4193.09,4192.7,4194.3,4192.9,4196.082
2021-02-14,4202.8,4201.4,4199.31,4197.6,4195.54,4195.39,4196.46,4196.99,4195.71,4194.66,4194.81,4194.94,4198.41,4196.57,4194.69,4193.93,4193.09,4192.8,4194.4,4192.6,4196.105
2021-02-15,4202.9,4201.3,4199.3,4197.61,4195.54,4195.45,4196.59,4196.97,4195.49,4194.66,4194.82,4194.92,4198.47,4196.57,4194.71,4193.99,4193.12,4192.8,4194.4,4192.9,4196.1255
2021-02-16,4202.9,4201.3,4199.3,4197.58,4195.54,4195.41,4196.51,4197,4195.48,4194.64,4194.86,4194.92,4198.5,4196.56,4194.77,4194.07,4193.11,4192.9,4194.3,4193.1,4196.1375
2021-02-17,4203,4201.3,4199.3,4197.61,4195.56,4195.4,4196.49,4197,4195.49,4194.68,4194.87,4194.93,4198.45,4196.57,4194.74,4193.98,4193.11,4192.9,4194.3,4193.1,4196.139
2021-02-18,4203,4201.3,4199.31,4197.62,4195.56,4195.4,4196.5,4197.03,4195.5,4194.7,4194.88,4194.96,4198.46,4196.57,4194.76,4193.96,4193.02,4193,4194.3,4193.1,4196.1465
2021-02-19,4203,4201.3,4199.3,4197.64,4195.59,4195.39,4196.5,4197.14,4195.49,4194.72,4194.9,4195,4198.59,4196.59,4194.96,4193.94,4193.19,4193,4194.5,4193.2,4196.197
2021-02-20,4203,4201.3,4199.32,4197.65,4195.59,4195.4,4196.48,4197.08,4195.5,4194.73,4194.92,4195.04,4198.44,4196.63,4194.81,4194.02,4193.25,4193,4194.4,4193.1,4196.183
2021-02-21,4203,4201.3,4199.34,4197.64,4195.6,4195.41,4196.43,4197.1,4195.5,4194.75,4194.92,4195.08,4198.46,4196.64,4194.8,4193.99,4193.26,4193,4194.3,4193.1,4196.181
2021-02-22,4203,4201.3,4199.35,4197.87,4195.6,4195.45,4196.47,4197.08,4195.53,4194.77,4194.98,4195.08,4198.54,4196.6,4194.8,4193.96,4193.32,4193.2,4194.3,4193.2,4196.22
2021-02-23,4203,4201.4,4199.38,4197.67,4195.6,4195.52,4196.46,4197.19,4195.54,4194.78,4194.92,4195.11,4198.7,4196.71,4194.81,4193.9,4193.39,4193.5,4194.4,4193.1,4196.254
2021-02-24,4203.2,4201.4,4199.44,4197.7,4195.6,4195.51,4196.49,4197.2,4195.52,4194.79,4194.92,4195.12,4198.49,4196.71,4194.85,4193.95,4193.35,4193.4,4194.3,4193.1,4196.252
2021-02-25,4203.1,4201.4,4199.49,4197.68,4195.61,4195.5,4196.5,4197.14,4195.58,4194.8,4194.96,4195.05,4198.72,4196.63,4194.88,4193.94,4193.38,4193.4,4194.4,4193.1,4196.263
2021-02-26,4203.1,4201.4,4199.38,4197.65,4195.61,4195.5,4196.51,4197.18,4195.59,4194.87,4194.95,4195.23,4198.53,4196.71,4194.9,4193.96,4193.4,4193.4,4194.3,4193.2,4196.2685
2021-02-27,4203.1,4201.4,4199.38,4197.62,4195.72,4195.5,4196.52,4197.23,4195.6,4194.86,4194.99,4195.26,4198.53,4196.62,4194.92,4193.94,4193.47,4193.5,4194.4,4193.2,4196.288
2021-02-28,4203.1,4201.4,4199.5,4197.68,4195.8,4195.5,4196.44,4197.22,4195.61,4194.84,4195.04,4195.21,4198.54,4196.63,4194.91,4193.94,4193.45,4193.6,4194.4,4193.2,4196.3005
2021-03-01,4203.2,4201.4,4199.53,4197.68,4195.83,4195.52,4196.58,4197.24,4195.77,4194.86,4195.03,4195.23,4198.54,4196.62,4194.87,4193.98,4193.47,4193.5,4194.3,4193.3,4196.3225
2021-03-02,4203.2,4201.4,4199.42,4197.67,4195.87,4195.51,4196.59,4197.33,4195.87,4194.85,4195.02,4195.25,4198.66,4196.62,4194.96,4194,4193.51,4193.6,4194.3,4193.3,4196.3465
