datetime,day,month,prcp-2000,prcp-2001,prcp-2002,prcp-2003,prcp-2004,prcp-2005,prcp-2006,prcp-2007,prcp-2008,prcp-2009,prcp-2010,prcp-2011,prcp-2012,prcp-2013,prcp-2014,prcp-2015,prcp-2016,prcp-2017,prcp-2018,prcp-2019,prcp-average,snow-2000,snow-2001,snow-2002,snow-2003,snow-2004,snow-2005,snow-2006,snow-2007,snow-2008,snow-2009,snow-2010,snow-2011,snow-2012,snow-2013,snow-2014,snow-2015,snow-2016,snow-2017,snow-2018,snow-2019,snow-average
1/1/2021,1,1,0.02,0,0,0,0,0.05,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006,0.2,0.1,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03
1/2/2021,2,1,0.31,0.02,0,0,0.16,0,0,0,0,0.42,0.04,0,0,0,0,0,0,0.29,0,0,0.062,3.7,0.2,0,0,2.1,0,0,0,0,2.4,0.6,0,0,0,0,0,0,6.8,0,0,0.79
1/3/2021,3,1,0.1,0,0,0,0.02,0,0.09,0,0,0,0,0,0,0.01,0,0,0,0.01,0,0,0.0115,1,0,0,0,1.1,0,0,0,0,0,0,0,0,0.2,0,0,0,0.6,0,0,0.145
1/4/2021,4,1,0.22,0,0.13,0,0.01,0,0,0.44,0,0,0,0,0,0,0.11,0,0,0.2,0,0,0.0555,2.7,0,2,0,0.1,0,0,4.9,0,0,0,0,0,0,2.5,0,0,3.2,0,0,0.77
1/5/2021,5,1,0.02,0,0,0.02,0,0.23,0,0,0.4,0.09,0,0,0,0,0,0,0.01,0.1,0,0,0.0435,0.1,0,0,0,0,3.1,0,0,2,2,0,0,0,0,0,0,0,1.5,0,0,0.435
1/6/2021,6,1,0,0.01,0.02,0,0,0.07,0,0,0.16,0.15,0,0,0,0,0,0,0.11,0,0.22,0.22,0.048,0,0.1,0.3,0,0,2,0,0,2,1.7,0,0,0,0,0,0,0,0,0.3,1,0.37
1/7/2021,7,1,0.01,0,0,0,0.03,0.01,0,0,0,0,0,0,0.26,0,0,0,0.03,0.01,0.01,0.07,0.0215,0.1,0,0,0,1.2,0.2,0,0,0,0,0,0,3.9,0,0,0,0.1,0,0,0.4,0.295
1/8/2021,8,1,0,0,0,0,0,0.03,0.02,0,0,0.21,0,0.04,0,0,0.19,0,0.14,0.08,0,0,0.0355,0,0,0,0,0,0,0,0,0,0.4,0,0.7,0,0,3,0,1.7,0.1,0,0,0.295
1/9/2021,9,1,0,0,0,0,0,0,0,0,0.09,0,0,0.07,0,0,0.13,0,0,0.09,0.02,0,0.02,0,0,0,0,0,0,0,0,1.4,0,0,2,0,0,2.6,0,0,0,0,0,0.3
1/10/2021,10,1,0.3,0.04,0,0.06,0,0.22,0,0,0,0,0,0.03,0,0.42,0,0.07,0,0,0.06,0,0.06,2.8,0.3,0,0,0,0,0,0,0,0,0,0.7,0,6.3,0,0,0,0,0,0,0.505
1/11/2021,11,1,0.06,0.1,0,0,0.01,0.34,0.14,0.15,0.04,0,0,0,0,0.09,0,0.03,0,0.18,0,0,0.057,0,0,0,0,0.3,0.5,0.6,2.6,0.4,0,0,0,0,2.6,0,0,0,0,0,0,0.35
1/12/2021,12,1,0,0.01,0,0,0,0,0,0.01,0,0,0,0,0,0.07,0.14,0.69,0,0.05,0,0,0.0485,0,0,0,0,0,0,0,0.1,0,0,0,0,0,1.3,0.2,0.1,0,0.4,0,0,0.105
1/13/2021,13,1,0,0.03,0,0,0,0,0,0,0.05,0,0,0.08,0,0,0,0.02,0,0,0,0,0.009,0,0.4,0,0,0,0,0,0,0.9,0,0,0.8,0,0,0,0.2,0,0,0,0,0.115
1/14/2021,14,1,0,0.04,0,0,0,0,0.01,0,0,0,0,0.01,0,0,0,0,0.01,0,0,0,0.0035,0,0.8,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0.1,0,0,0,0.05
1/15/2021,15,1,0,0.02,0.18,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0.07,0,0,0.04,0.0255,0,0.3,1.8,0,0,0,2.2,0,0.2,0,0.1,0,0,0,0,0,0.8,0,0,0.5,0.295
1/16/2021,16,1,0,0,0,0,0.01,0,0,0,0,0,0,0.1,0.04,0,0,0,0.03,0,0,0.04,0.011,0,0,0,0,0.1,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0.5,0.055
1/17/2021,17,1,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0.76,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
